,precision,recall,f1-score,support
activate_my_card,0.6976744186046512,0.75,0.7228915662650603,40.0
age_limit,1.0,0.975,0.9873417721518987,40.0
apple_pay_or_google_pay,0.868421052631579,0.825,0.8461538461538461,40.0
atm_support,0.9696969696969697,0.8,0.8767123287671234,40.0
automatic_top_up,0.8372093023255814,0.9,0.8674698795180723,40.0
balance_not_updated_after_bank_transfer,0.5675675675675675,0.525,0.5454545454545455,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.8823529411764706,0.75,0.8108108108108107,40.0
beneficiary_not_allowed,0.7894736842105263,0.75,0.7692307692307692,40.0
cancel_transfer,0.7916666666666666,0.95,0.8636363636363635,40.0
card_about_to_expire,0.7916666666666666,0.95,0.8636363636363635,40.0
card_acceptance,0.7906976744186046,0.85,0.8192771084337349,40.0
card_arrival,0.7142857142857143,0.625,0.6666666666666666,40.0
card_delivery_estimate,0.8333333333333334,0.75,0.7894736842105262,40.0
card_linking,0.85,0.85,0.85,40.0
card_not_working,0.4318181818181818,0.475,0.4523809523809524,40.0
card_payment_fee_charged,0.627906976744186,0.675,0.6506024096385542,40.0
card_payment_not_recognised,0.627906976744186,0.675,0.6506024096385542,40.0
card_payment_wrong_exchange_rate,0.813953488372093,0.875,0.8433734939759036,40.0
card_swallowed,0.7941176470588235,0.675,0.7297297297297296,40.0
cash_withdrawal_charge,0.6744186046511628,0.725,0.6987951807228916,40.0
cash_withdrawal_not_recognised,0.5769230769230769,0.75,0.6521739130434783,40.0
change_pin,0.7857142857142857,0.825,0.8048780487804876,40.0
compromised_card,0.8333333333333334,0.625,0.7142857142857143,40.0
contactless_not_working,0.8888888888888888,0.4,0.5517241379310346,40.0
country_support,0.9230769230769231,0.9,0.9113924050632911,40.0
declined_card_payment,0.5576923076923077,0.725,0.6304347826086957,40.0
declined_cash_withdrawal,0.6976744186046512,0.75,0.7228915662650603,40.0
declined_transfer,0.71875,0.575,0.6388888888888888,40.0
direct_debit_payment_not_recognised,0.6666666666666666,0.65,0.6582278481012659,40.0
disposable_card_limits,0.825,0.825,0.825,40.0
edit_personal_details,0.8157894736842105,0.775,0.7948717948717949,40.0
exchange_charge,0.825,0.825,0.825,40.0
exchange_rate,0.8947368421052632,0.85,0.8717948717948718,40.0
exchange_via_app,0.8709677419354839,0.675,0.7605633802816901,40.0
extra_charge_on_statement,0.9117647058823529,0.775,0.8378378378378379,40.0
failed_transfer,0.6857142857142857,0.6,0.64,40.0
fiat_currency_support,0.8717948717948718,0.85,0.8607594936708861,40.0
get_disposable_virtual_card,0.5714285714285714,0.8,0.6666666666666666,40.0
get_physical_card,0.7575757575757576,0.625,0.6849315068493151,40.0
getting_spare_card,0.7317073170731707,0.75,0.7407407407407408,40.0
getting_virtual_card,0.5952380952380952,0.625,0.6097560975609756,40.0
lost_or_stolen_card,0.6904761904761905,0.725,0.7073170731707318,40.0
lost_or_stolen_phone,0.8095238095238095,0.85,0.8292682926829269,40.0
order_physical_card,0.6585365853658537,0.675,0.6666666666666667,40.0
passcode_forgotten,0.8648648648648649,0.8,0.8311688311688312,40.0
pending_card_payment,0.6086956521739131,0.7,0.6511627906976744,40.0
pending_cash_withdrawal,0.6511627906976745,0.7,0.674698795180723,40.0
pending_top_up,0.6904761904761905,0.725,0.7073170731707318,40.0
pending_transfer,0.6052631578947368,0.575,0.5897435897435896,40.0
pin_blocked,0.75,0.6,0.6666666666666665,40.0
receiving_money,0.8974358974358975,0.875,0.8860759493670887,40.0
Refund_not_showing_up,0.7608695652173914,0.875,0.813953488372093,40.0
request_refund,0.868421052631579,0.825,0.8461538461538461,40.0
reverted_card_payment?,0.5510204081632653,0.675,0.6067415730337078,40.0
supported_cards_and_currencies,0.7727272727272727,0.85,0.8095238095238095,40.0
terminate_account,0.8571428571428571,0.9,0.8780487804878048,40.0
top_up_by_bank_transfer_charge,0.7560975609756098,0.775,0.7654320987654322,40.0
top_up_by_card_charge,0.8333333333333334,0.875,0.8536585365853658,40.0
top_up_by_cash_or_cheque,0.7692307692307693,0.75,0.7594936708860761,40.0
top_up_failed,0.5833333333333334,0.7,0.6363636363636365,40.0
top_up_limits,0.925,0.925,0.925,40.0
top_up_reverted,0.7878787878787878,0.65,0.7123287671232875,40.0
topping_up_by_card,0.7105263157894737,0.675,0.6923076923076923,40.0
transaction_charged_twice,0.75,0.75,0.75,40.0
transfer_fee_charged,0.9333333333333333,0.7,0.8,40.0
transfer_into_account,0.7,0.7,0.7,40.0
transfer_not_received_by_recipient,0.6,0.6,0.6,40.0
transfer_timing,0.673469387755102,0.825,0.7415730337078652,40.0
unable_to_verify_identity,0.8461538461538461,0.825,0.8354430379746836,40.0
verify_my_identity,0.8205128205128205,0.8,0.810126582278481,40.0
verify_source_of_funds,0.95,0.95,0.9500000000000001,40.0
verify_top_up,0.8636363636363636,0.95,0.9047619047619048,40.0
virtual_card_not_working,0.6842105263157895,0.65,0.6666666666666667,40.0
visa_or_mastercard,0.85,0.85,0.85,40.0
why_verify_identity,0.9024390243902439,0.925,0.9135802469135802,40.0
wrong_amount_of_cash_received,0.8888888888888888,0.8,0.8421052631578948,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8604651162790697,0.925,0.891566265060241,40.0
accuracy,0.7594155844155844,0.7594155844155844,0.7594155844155844,0.7594155844155844
macro avg,0.7673341705571873,0.7594155844155843,0.7593762883753866,3080.0
weighted avg,0.7673341705571872,0.7594155844155844,0.7593762883753864,3080.0
