,precision,recall,f1-score,support
activate_my_card,0.43902439024390244,0.9,0.5901639344262295,40.0
age_limit,0.926829268292683,0.95,0.9382716049382716,40.0
apple_pay_or_google_pay,0.875,0.875,0.875,40.0
atm_support,0.8780487804878049,0.9,0.888888888888889,40.0
automatic_top_up,0.7291666666666666,0.875,0.7954545454545454,40.0
balance_not_updated_after_bank_transfer,0.47058823529411764,0.6,0.5274725274725275,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5882352941176471,0.75,0.6593406593406592,40.0
beneficiary_not_allowed,0.6530612244897959,0.8,0.7191011235955055,40.0
cancel_transfer,0.6610169491525424,0.975,0.7878787878787878,40.0
card_about_to_expire,0.6964285714285714,0.975,0.8125,40.0
card_acceptance,0.7727272727272727,0.85,0.8095238095238095,40.0
card_arrival,0.5098039215686274,0.65,0.5714285714285715,40.0
card_delivery_estimate,0.7,0.7,0.7,40.0
card_linking,0.6607142857142857,0.925,0.7708333333333333,40.0
card_not_working,0.38028169014084506,0.675,0.48648648648648646,40.0
card_payment_fee_charged,0.5423728813559322,0.8,0.6464646464646464,40.0
card_payment_not_recognised,0.49230769230769234,0.8,0.6095238095238096,40.0
card_payment_wrong_exchange_rate,0.8409090909090909,0.925,0.8809523809523809,40.0
card_swallowed,0.7575757575757576,0.625,0.6849315068493151,40.0
cash_withdrawal_charge,0.5714285714285714,0.7,0.6292134831460674,40.0
cash_withdrawal_not_recognised,0.5416666666666666,0.65,0.5909090909090908,40.0
change_pin,0.75,0.75,0.75,40.0
compromised_card,0.8461538461538461,0.55,0.6666666666666667,40.0
contactless_not_working,0.8125,0.325,0.46428571428571436,40.0
country_support,0.918918918918919,0.85,0.8831168831168831,40.0
declined_card_payment,0.5483870967741935,0.85,0.6666666666666665,40.0
declined_cash_withdrawal,0.75,0.75,0.75,40.0
declined_transfer,0.7222222222222222,0.65,0.6842105263157895,40.0
direct_debit_payment_not_recognised,0.7333333333333333,0.55,0.6285714285714286,40.0
disposable_card_limits,0.8333333333333334,0.875,0.8536585365853658,40.0
edit_personal_details,0.8571428571428571,0.75,0.7999999999999999,40.0
exchange_charge,0.7674418604651163,0.825,0.7951807228915662,40.0
exchange_rate,0.8043478260869565,0.925,0.8604651162790697,40.0
exchange_via_app,0.775,0.775,0.775,40.0
extra_charge_on_statement,0.8181818181818182,0.675,0.7397260273972603,40.0
failed_transfer,0.7931034482758621,0.575,0.6666666666666666,40.0
fiat_currency_support,0.7804878048780488,0.8,0.7901234567901235,40.0
get_disposable_virtual_card,0.5517241379310345,0.8,0.6530612244897959,40.0
get_physical_card,0.7058823529411765,0.6,0.6486486486486486,40.0
getting_spare_card,0.75,0.75,0.75,40.0
getting_virtual_card,0.7692307692307693,0.5,0.6060606060606061,40.0
lost_or_stolen_card,0.7333333333333333,0.55,0.6285714285714286,40.0
lost_or_stolen_phone,0.7857142857142857,0.825,0.8048780487804876,40.0
order_physical_card,0.75,0.6,0.6666666666666665,40.0
passcode_forgotten,0.8333333333333334,0.75,0.7894736842105262,40.0
pending_card_payment,0.6444444444444445,0.725,0.6823529411764706,40.0
pending_cash_withdrawal,0.8,0.7,0.7466666666666666,40.0
pending_top_up,0.6136363636363636,0.675,0.6428571428571429,40.0
pending_transfer,0.696969696969697,0.575,0.6301369863013698,40.0
pin_blocked,0.9166666666666666,0.55,0.6874999999999999,40.0
receiving_money,0.9428571428571428,0.825,0.88,40.0
Refund_not_showing_up,0.8484848484848485,0.7,0.7671232876712328,40.0
request_refund,0.8611111111111112,0.775,0.8157894736842106,40.0
reverted_card_payment?,0.7058823529411765,0.6,0.6486486486486486,40.0
supported_cards_and_currencies,0.7674418604651163,0.825,0.7951807228915662,40.0
terminate_account,0.9210526315789473,0.875,0.8974358974358975,40.0
top_up_by_bank_transfer_charge,0.875,0.7,0.7777777777777777,40.0
top_up_by_card_charge,0.8611111111111112,0.775,0.8157894736842106,40.0
top_up_by_cash_or_cheque,0.7435897435897436,0.725,0.7341772151898733,40.0
top_up_failed,0.7714285714285715,0.675,0.72,40.0
top_up_limits,0.918918918918919,0.85,0.8831168831168831,40.0
top_up_reverted,0.8333333333333334,0.625,0.7142857142857143,40.0
topping_up_by_card,0.84375,0.675,0.75,40.0
transaction_charged_twice,0.9285714285714286,0.65,0.7647058823529412,40.0
transfer_fee_charged,0.8333333333333334,0.625,0.7142857142857143,40.0
transfer_into_account,0.7575757575757576,0.625,0.6849315068493151,40.0
transfer_not_received_by_recipient,0.8846153846153846,0.575,0.696969696969697,40.0
transfer_timing,0.7906976744186046,0.85,0.8192771084337349,40.0
unable_to_verify_identity,0.96875,0.775,0.8611111111111113,40.0
verify_my_identity,0.8888888888888888,0.8,0.8421052631578948,40.0
verify_source_of_funds,0.9743589743589743,0.95,0.9620253164556962,40.0
verify_top_up,0.925,0.925,0.925,40.0
virtual_card_not_working,1.0,0.425,0.5964912280701754,40.0
visa_or_mastercard,1.0,0.8,0.888888888888889,40.0
why_verify_identity,0.925,0.925,0.925,40.0
wrong_amount_of_cash_received,0.9393939393939394,0.775,0.8493150684931509,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9210526315789473,0.875,0.8974358974358975,40.0
accuracy,0.7425324675324675,0.7425324675324675,0.7425324675324675,0.7425324675324675
macro avg,0.771167228559628,0.7425324675324674,0.7443171353787814,3080.0
weighted avg,0.771167228559628,0.7425324675324675,0.7443171353787816,3080.0
