,precision,recall,f1-score,support
activate_my_card,0.5918367346938775,0.725,0.6516853932584269,40.0
age_limit,0.9302325581395349,1.0,0.963855421686747,40.0
apple_pay_or_google_pay,0.8947368421052632,0.85,0.8717948717948718,40.0
atm_support,0.8974358974358975,0.875,0.8860759493670887,40.0
automatic_top_up,0.8918918918918919,0.825,0.8571428571428571,40.0
balance_not_updated_after_bank_transfer,0.5128205128205128,0.5,0.5063291139240506,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.7428571428571429,0.65,0.6933333333333334,40.0
beneficiary_not_allowed,0.8378378378378378,0.775,0.8051948051948051,40.0
cancel_transfer,0.6938775510204082,0.85,0.7640449438202247,40.0
card_about_to_expire,0.8478260869565217,0.975,0.9069767441860466,40.0
card_acceptance,0.868421052631579,0.825,0.8461538461538461,40.0
card_arrival,0.5853658536585366,0.6,0.5925925925925926,40.0
card_delivery_estimate,0.78125,0.625,0.6944444444444444,40.0
card_linking,0.6818181818181818,0.75,0.7142857142857143,40.0
card_not_working,0.5641025641025641,0.55,0.5569620253164557,40.0
card_payment_fee_charged,0.75,0.75,0.75,40.0
card_payment_not_recognised,0.5853658536585366,0.6,0.5925925925925926,40.0
card_payment_wrong_exchange_rate,0.8536585365853658,0.875,0.8641975308641976,40.0
card_swallowed,0.8235294117647058,0.7,0.7567567567567567,40.0
cash_withdrawal_charge,0.7027027027027027,0.65,0.6753246753246753,40.0
cash_withdrawal_not_recognised,0.58,0.725,0.6444444444444445,40.0
change_pin,0.825,0.825,0.825,40.0
compromised_card,0.8571428571428571,0.6,0.7058823529411764,40.0
contactless_not_working,0.9,0.45,0.6,40.0
country_support,0.8780487804878049,0.9,0.888888888888889,40.0
declined_card_payment,0.5283018867924528,0.7,0.6021505376344085,40.0
declined_cash_withdrawal,0.675,0.675,0.675,40.0
declined_transfer,0.5945945945945946,0.55,0.5714285714285715,40.0
direct_debit_payment_not_recognised,0.7804878048780488,0.8,0.7901234567901235,40.0
disposable_card_limits,0.918918918918919,0.85,0.8831168831168831,40.0
edit_personal_details,0.9722222222222222,0.875,0.9210526315789473,40.0
exchange_charge,0.75,0.825,0.7857142857142856,40.0
exchange_rate,0.8918918918918919,0.825,0.8571428571428571,40.0
exchange_via_app,0.875,0.7,0.7777777777777777,40.0
extra_charge_on_statement,0.8378378378378378,0.775,0.8051948051948051,40.0
failed_transfer,0.5714285714285714,0.5,0.5333333333333333,40.0
fiat_currency_support,0.90625,0.725,0.8055555555555555,40.0
get_disposable_virtual_card,0.8095238095238095,0.85,0.8292682926829269,40.0
get_physical_card,0.6410256410256411,0.625,0.6329113924050633,40.0
getting_spare_card,0.6976744186046512,0.75,0.7228915662650603,40.0
getting_virtual_card,0.8048780487804879,0.825,0.8148148148148149,40.0
lost_or_stolen_card,0.7692307692307693,0.75,0.7594936708860761,40.0
lost_or_stolen_phone,0.8292682926829268,0.85,0.8395061728395061,40.0
order_physical_card,0.6818181818181818,0.75,0.7142857142857143,40.0
passcode_forgotten,0.7435897435897436,0.725,0.7341772151898733,40.0
pending_card_payment,0.5238095238095238,0.55,0.5365853658536585,40.0
pending_cash_withdrawal,0.4642857142857143,0.65,0.5416666666666667,40.0
pending_top_up,0.7352941176470589,0.625,0.6756756756756757,40.0
pending_transfer,0.46153846153846156,0.45,0.45569620253164556,40.0
pin_blocked,0.631578947368421,0.6,0.6153846153846154,40.0
receiving_money,0.9444444444444444,0.85,0.8947368421052632,40.0
Refund_not_showing_up,0.9487179487179487,0.925,0.9367088607594937,40.0
request_refund,0.825,0.825,0.825,40.0
reverted_card_payment?,0.6046511627906976,0.65,0.6265060240963854,40.0
supported_cards_and_currencies,0.725,0.725,0.7250000000000001,40.0
terminate_account,0.8780487804878049,0.9,0.888888888888889,40.0
top_up_by_bank_transfer_charge,0.7317073170731707,0.75,0.7407407407407408,40.0
top_up_by_card_charge,0.8648648648648649,0.8,0.8311688311688312,40.0
top_up_by_cash_or_cheque,0.8181818181818182,0.675,0.7397260273972603,40.0
top_up_failed,0.6136363636363636,0.675,0.6428571428571429,40.0
top_up_limits,0.9512195121951219,0.975,0.9629629629629629,40.0
top_up_reverted,0.7714285714285715,0.675,0.72,40.0
topping_up_by_card,0.7222222222222222,0.65,0.6842105263157895,40.0
transaction_charged_twice,0.6808510638297872,0.8,0.7356321839080461,40.0
transfer_fee_charged,0.6190476190476191,0.65,0.6341463414634146,40.0
transfer_into_account,0.5833333333333334,0.7,0.6363636363636365,40.0
transfer_not_received_by_recipient,0.5531914893617021,0.65,0.5977011494252874,40.0
transfer_timing,0.7333333333333333,0.825,0.776470588235294,40.0
unable_to_verify_identity,0.7857142857142857,0.825,0.8048780487804876,40.0
verify_my_identity,0.6170212765957447,0.725,0.6666666666666666,40.0
verify_source_of_funds,0.8837209302325582,0.95,0.9156626506024096,40.0
verify_top_up,0.7708333333333334,0.925,0.840909090909091,40.0
virtual_card_not_working,0.8333333333333334,0.625,0.7142857142857143,40.0
visa_or_mastercard,0.9166666666666666,0.825,0.8684210526315789,40.0
why_verify_identity,0.7692307692307693,0.75,0.7594936708860761,40.0
wrong_amount_of_cash_received,0.85,0.85,0.85,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8409090909090909,0.925,0.8809523809523809,40.0
accuracy,0.7448051948051948,0.7448051948051948,0.7448051948051948,0.7448051948051948
macro avg,0.7533703607759252,0.7448051948051948,0.7453765893696874,3080.0
weighted avg,0.7533703607759251,0.7448051948051948,0.7453765893696875,3080.0
