,precision,recall,f1-score,support
activate_my_card,0.4146341463414634,0.85,0.5573770491803278,40.0
age_limit,0.8695652173913043,1.0,0.9302325581395349,40.0
apple_pay_or_google_pay,0.875,0.875,0.875,40.0
atm_support,0.8571428571428571,0.9,0.8780487804878048,40.0
automatic_top_up,0.7906976744186046,0.85,0.8192771084337349,40.0
balance_not_updated_after_bank_transfer,0.421875,0.675,0.5192307692307693,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5227272727272727,0.575,0.5476190476190476,40.0
beneficiary_not_allowed,0.6666666666666666,0.8,0.7272727272727272,40.0
cancel_transfer,0.660377358490566,0.875,0.7526881720430108,40.0
card_about_to_expire,0.6842105263157895,0.975,0.8041237113402062,40.0
card_acceptance,0.8372093023255814,0.9,0.8674698795180723,40.0
card_arrival,0.49019607843137253,0.625,0.5494505494505494,40.0
card_delivery_estimate,0.7714285714285715,0.675,0.72,40.0
card_linking,0.5416666666666666,0.65,0.5909090909090908,40.0
card_not_working,0.421875,0.675,0.5192307692307693,40.0
card_payment_fee_charged,0.5932203389830508,0.875,0.707070707070707,40.0
card_payment_not_recognised,0.47761194029850745,0.8,0.5981308411214953,40.0
card_payment_wrong_exchange_rate,0.76,0.95,0.8444444444444444,40.0
card_swallowed,0.7692307692307693,0.75,0.7594936708860761,40.0
cash_withdrawal_charge,0.5833333333333334,0.7,0.6363636363636365,40.0
cash_withdrawal_not_recognised,0.5208333333333334,0.625,0.5681818181818181,40.0
change_pin,0.6511627906976745,0.7,0.674698795180723,40.0
compromised_card,0.6451612903225806,0.5,0.5633802816901409,40.0
contactless_not_working,0.875,0.35,0.4999999999999999,40.0
country_support,0.8571428571428571,0.9,0.8780487804878048,40.0
declined_card_payment,0.49206349206349204,0.775,0.6019417475728155,40.0
declined_cash_withdrawal,0.6222222222222222,0.7,0.6588235294117647,40.0
declined_transfer,0.4883720930232558,0.525,0.5060240963855422,40.0
direct_debit_payment_not_recognised,0.8108108108108109,0.75,0.7792207792207791,40.0
disposable_card_limits,0.7446808510638298,0.875,0.8045977011494252,40.0
edit_personal_details,0.9459459459459459,0.875,0.9090909090909091,40.0
exchange_charge,0.6296296296296297,0.85,0.723404255319149,40.0
exchange_rate,0.8095238095238095,0.85,0.8292682926829269,40.0
exchange_via_app,0.8055555555555556,0.725,0.7631578947368423,40.0
extra_charge_on_statement,0.8571428571428571,0.75,0.7999999999999999,40.0
failed_transfer,0.4838709677419355,0.375,0.4225352112676056,40.0
fiat_currency_support,0.8823529411764706,0.75,0.8108108108108107,40.0
get_disposable_virtual_card,0.7631578947368421,0.725,0.7435897435897436,40.0
get_physical_card,0.6052631578947368,0.575,0.5897435897435896,40.0
getting_spare_card,0.6595744680851063,0.775,0.7126436781609196,40.0
getting_virtual_card,0.8571428571428571,0.75,0.7999999999999999,40.0
lost_or_stolen_card,0.7307692307692307,0.475,0.5757575757575758,40.0
lost_or_stolen_phone,0.8421052631578947,0.8,0.8205128205128205,40.0
order_physical_card,0.7857142857142857,0.55,0.6470588235294117,40.0
passcode_forgotten,0.7575757575757576,0.625,0.6849315068493151,40.0
pending_card_payment,0.5531914893617021,0.65,0.5977011494252874,40.0
pending_cash_withdrawal,0.4583333333333333,0.55,0.5,40.0
pending_top_up,0.6097560975609756,0.625,0.6172839506172839,40.0
pending_transfer,0.5,0.425,0.45945945945945943,40.0
pin_blocked,0.84,0.525,0.6461538461538462,40.0
receiving_money,0.8947368421052632,0.85,0.8717948717948718,40.0
Refund_not_showing_up,0.8461538461538461,0.825,0.8354430379746836,40.0
request_refund,0.90625,0.725,0.8055555555555555,40.0
reverted_card_payment?,0.65625,0.525,0.5833333333333334,40.0
supported_cards_and_currencies,0.7,0.7,0.7,40.0
terminate_account,0.9444444444444444,0.85,0.8947368421052632,40.0
top_up_by_bank_transfer_charge,0.7142857142857143,0.625,0.6666666666666666,40.0
top_up_by_card_charge,0.8205128205128205,0.8,0.810126582278481,40.0
top_up_by_cash_or_cheque,0.8,0.7,0.7466666666666666,40.0
top_up_failed,0.6382978723404256,0.75,0.6896551724137931,40.0
top_up_limits,0.9714285714285714,0.85,0.9066666666666667,40.0
top_up_reverted,0.8461538461538461,0.55,0.6666666666666667,40.0
topping_up_by_card,0.7931034482758621,0.575,0.6666666666666666,40.0
transaction_charged_twice,0.9310344827586207,0.675,0.7826086956521738,40.0
transfer_fee_charged,0.7727272727272727,0.425,0.5483870967741935,40.0
transfer_into_account,0.6206896551724138,0.45,0.5217391304347826,40.0
transfer_not_received_by_recipient,0.7727272727272727,0.425,0.5483870967741935,40.0
transfer_timing,0.8055555555555556,0.725,0.7631578947368423,40.0
unable_to_verify_identity,0.8235294117647058,0.7,0.7567567567567567,40.0
verify_my_identity,0.7,0.7,0.7,40.0
verify_source_of_funds,0.9743589743589743,0.95,0.9620253164556962,40.0
verify_top_up,0.972972972972973,0.9,0.935064935064935,40.0
virtual_card_not_working,0.8947368421052632,0.425,0.576271186440678,40.0
visa_or_mastercard,0.967741935483871,0.75,0.8450704225352113,40.0
why_verify_identity,0.9032258064516129,0.7,0.7887323943661972,40.0
wrong_amount_of_cash_received,0.9393939393939394,0.775,0.8493150684931509,40.0
wrong_exchange_rate_for_cash_withdrawal,1.0,0.75,0.8571428571428571,40.0
accuracy,0.7087662337662337,0.7087662337662337,0.7087662337662337,0.7087662337662337
macro avg,0.7364030588323978,0.7087662337662337,0.7100011966252896,3080.0
weighted avg,0.7364030588323975,0.7087662337662337,0.7100011966252895,3080.0
