,precision,recall,f1-score,support
activate_my_card,0.5961538461538461,0.775,0.6739130434782609,40.0
age_limit,0.9512195121951219,0.975,0.9629629629629629,40.0
apple_pay_or_google_pay,0.9024390243902439,0.925,0.9135802469135802,40.0
atm_support,0.8157894736842105,0.775,0.7948717948717949,40.0
automatic_top_up,0.9166666666666666,0.825,0.8684210526315789,40.0
balance_not_updated_after_bank_transfer,0.5405405405405406,0.5,0.5194805194805195,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.7297297297297297,0.675,0.7012987012987014,40.0
beneficiary_not_allowed,0.8461538461538461,0.825,0.8354430379746836,40.0
cancel_transfer,0.6938775510204082,0.85,0.7640449438202247,40.0
card_about_to_expire,0.8181818181818182,0.9,0.8571428571428572,40.0
card_acceptance,0.8048780487804879,0.825,0.8148148148148149,40.0
card_arrival,0.8125,0.65,0.7222222222222223,40.0
card_delivery_estimate,0.7435897435897436,0.725,0.7341772151898733,40.0
card_linking,0.7837837837837838,0.725,0.7532467532467533,40.0
card_not_working,0.45,0.45,0.45,40.0
card_payment_fee_charged,0.6363636363636364,0.7,0.6666666666666666,40.0
card_payment_not_recognised,0.6153846153846154,0.6,0.6075949367088608,40.0
card_payment_wrong_exchange_rate,0.8888888888888888,0.8,0.8421052631578948,40.0
card_swallowed,0.84375,0.675,0.75,40.0
cash_withdrawal_charge,0.5897435897435898,0.575,0.5822784810126582,40.0
cash_withdrawal_not_recognised,0.7142857142857143,0.75,0.7317073170731706,40.0
change_pin,0.7857142857142857,0.825,0.8048780487804876,40.0
compromised_card,1.0,0.625,0.7692307692307693,40.0
contactless_not_working,0.8333333333333334,0.375,0.5172413793103448,40.0
country_support,0.8974358974358975,0.875,0.8860759493670887,40.0
declined_card_payment,0.5178571428571429,0.725,0.6041666666666666,40.0
declined_cash_withdrawal,0.6666666666666666,0.85,0.7472527472527473,40.0
declined_transfer,0.6756756756756757,0.625,0.6493506493506493,40.0
direct_debit_payment_not_recognised,0.6666666666666666,0.7,0.6829268292682926,40.0
disposable_card_limits,0.9,0.9,0.9,40.0
edit_personal_details,0.8292682926829268,0.85,0.8395061728395061,40.0
exchange_charge,0.7073170731707317,0.725,0.7160493827160495,40.0
exchange_rate,0.85,0.85,0.85,40.0
exchange_via_app,0.8235294117647058,0.7,0.7567567567567567,40.0
extra_charge_on_statement,0.7297297297297297,0.675,0.7012987012987014,40.0
failed_transfer,0.625,0.5,0.5555555555555556,40.0
fiat_currency_support,0.7777777777777778,0.7,0.7368421052631577,40.0
get_disposable_virtual_card,0.8048780487804879,0.825,0.8148148148148149,40.0
get_physical_card,0.8518518518518519,0.575,0.6865671641791045,40.0
getting_spare_card,0.6842105263157895,0.65,0.6666666666666667,40.0
getting_virtual_card,0.6136363636363636,0.675,0.6428571428571429,40.0
lost_or_stolen_card,0.6666666666666666,0.7,0.6829268292682926,40.0
lost_or_stolen_phone,0.8947368421052632,0.85,0.8717948717948718,40.0
order_physical_card,0.47368421052631576,0.675,0.5567010309278351,40.0
passcode_forgotten,0.8648648648648649,0.8,0.8311688311688312,40.0
pending_card_payment,0.5384615384615384,0.7,0.608695652173913,40.0
pending_cash_withdrawal,0.5777777777777777,0.65,0.6117647058823529,40.0
pending_top_up,0.6444444444444445,0.725,0.6823529411764706,40.0
pending_transfer,0.5476190476190477,0.575,0.5609756097560975,40.0
pin_blocked,0.8275862068965517,0.6,0.6956521739130435,40.0
receiving_money,1.0,0.825,0.9041095890410958,40.0
Refund_not_showing_up,0.8536585365853658,0.875,0.8641975308641976,40.0
request_refund,0.8,0.8,0.8000000000000002,40.0
reverted_card_payment?,0.6122448979591837,0.75,0.6741573033707865,40.0
supported_cards_and_currencies,0.7777777777777778,0.7,0.7368421052631577,40.0
terminate_account,0.9024390243902439,0.925,0.9135802469135802,40.0
top_up_by_bank_transfer_charge,0.717948717948718,0.7,0.708860759493671,40.0
top_up_by_card_charge,0.717391304347826,0.825,0.7674418604651162,40.0
top_up_by_cash_or_cheque,0.9166666666666666,0.825,0.8684210526315789,40.0
top_up_failed,0.6,0.675,0.6352941176470589,40.0
top_up_limits,0.8444444444444444,0.95,0.8941176470588236,40.0
top_up_reverted,0.631578947368421,0.6,0.6153846153846154,40.0
topping_up_by_card,0.6,0.6,0.6,40.0
transaction_charged_twice,0.7441860465116279,0.8,0.7710843373493975,40.0
transfer_fee_charged,0.6216216216216216,0.575,0.5974025974025973,40.0
transfer_into_account,0.6363636363636364,0.7,0.6666666666666666,40.0
transfer_not_received_by_recipient,0.5641025641025641,0.55,0.5569620253164557,40.0
transfer_timing,0.7209302325581395,0.775,0.7469879518072289,40.0
unable_to_verify_identity,0.868421052631579,0.825,0.8461538461538461,40.0
verify_my_identity,0.7333333333333333,0.825,0.776470588235294,40.0
verify_source_of_funds,0.925,0.925,0.925,40.0
verify_top_up,0.8636363636363636,0.95,0.9047619047619048,40.0
virtual_card_not_working,0.8181818181818182,0.675,0.7397260273972603,40.0
visa_or_mastercard,0.8648648648648649,0.8,0.8311688311688312,40.0
why_verify_identity,0.782608695652174,0.9,0.8372093023255814,40.0
wrong_amount_of_cash_received,0.8529411764705882,0.725,0.7837837837837837,40.0
wrong_exchange_rate_for_cash_withdrawal,0.7555555555555555,0.85,0.7999999999999998,40.0
accuracy,0.7392857142857143,0.7392857142857143,0.7392857142857143,0.7392857142857143
macro avg,0.7493013980770377,0.7392857142857141,0.7395042554468418,3080.0
weighted avg,0.7493013980770378,0.7392857142857143,0.7395042554468417,3080.0
