,precision,recall,f1-score,support
activate_my_card,0.6226415094339622,0.825,0.7096774193548386,40.0
age_limit,0.9285714285714286,0.975,0.951219512195122,40.0
apple_pay_or_google_pay,0.9473684210526315,0.9,0.9230769230769231,40.0
atm_support,0.8421052631578947,0.8,0.8205128205128205,40.0
automatic_top_up,0.8918918918918919,0.825,0.8571428571428571,40.0
balance_not_updated_after_bank_transfer,0.5365853658536586,0.55,0.54320987654321,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.7428571428571429,0.65,0.6933333333333334,40.0
beneficiary_not_allowed,0.8048780487804879,0.825,0.8148148148148149,40.0
cancel_transfer,0.775,0.775,0.775,40.0
card_about_to_expire,0.8333333333333334,0.875,0.8536585365853658,40.0
card_acceptance,0.8292682926829268,0.85,0.8395061728395061,40.0
card_arrival,0.7297297297297297,0.675,0.7012987012987014,40.0
card_delivery_estimate,0.7297297297297297,0.675,0.7012987012987014,40.0
card_linking,0.6222222222222222,0.7,0.6588235294117647,40.0
card_not_working,0.5,0.525,0.5121951219512195,40.0
card_payment_fee_charged,0.5769230769230769,0.75,0.6521739130434783,40.0
card_payment_not_recognised,0.5581395348837209,0.6,0.5783132530120482,40.0
card_payment_wrong_exchange_rate,0.813953488372093,0.875,0.8433734939759036,40.0
card_swallowed,0.8529411764705882,0.725,0.7837837837837837,40.0
cash_withdrawal_charge,0.6451612903225806,0.5,0.5633802816901409,40.0
cash_withdrawal_not_recognised,0.6888888888888889,0.775,0.7294117647058822,40.0
change_pin,0.7380952380952381,0.775,0.7560975609756099,40.0
compromised_card,0.8518518518518519,0.575,0.6865671641791045,40.0
contactless_not_working,0.8421052631578947,0.4,0.5423728813559322,40.0
country_support,0.9230769230769231,0.9,0.9113924050632911,40.0
declined_card_payment,0.5636363636363636,0.775,0.6526315789473685,40.0
declined_cash_withdrawal,0.6956521739130435,0.8,0.7441860465116279,40.0
declined_transfer,0.696969696969697,0.575,0.6301369863013698,40.0
direct_debit_payment_not_recognised,0.6666666666666666,0.65,0.6582278481012659,40.0
disposable_card_limits,0.8974358974358975,0.875,0.8860759493670887,40.0
edit_personal_details,0.813953488372093,0.875,0.8433734939759036,40.0
exchange_charge,0.717948717948718,0.7,0.708860759493671,40.0
exchange_rate,0.8461538461538461,0.825,0.8354430379746836,40.0
exchange_via_app,0.8648648648648649,0.8,0.8311688311688312,40.0
extra_charge_on_statement,0.8,0.7,0.7466666666666666,40.0
failed_transfer,0.6285714285714286,0.55,0.5866666666666667,40.0
fiat_currency_support,0.8484848484848485,0.7,0.7671232876712328,40.0
get_disposable_virtual_card,0.8421052631578947,0.8,0.8205128205128205,40.0
get_physical_card,0.8275862068965517,0.6,0.6956521739130435,40.0
getting_spare_card,0.6842105263157895,0.65,0.6666666666666667,40.0
getting_virtual_card,0.6153846153846154,0.6,0.6075949367088608,40.0
lost_or_stolen_card,0.725,0.725,0.7250000000000001,40.0
lost_or_stolen_phone,0.8717948717948718,0.85,0.8607594936708861,40.0
order_physical_card,0.48148148148148145,0.65,0.553191489361702,40.0
passcode_forgotten,0.8888888888888888,0.8,0.8421052631578948,40.0
pending_card_payment,0.5714285714285714,0.7,0.6292134831460674,40.0
pending_cash_withdrawal,0.6190476190476191,0.65,0.6341463414634146,40.0
pending_top_up,0.56,0.7,0.6222222222222222,40.0
pending_transfer,0.5609756097560976,0.575,0.5679012345679012,40.0
pin_blocked,0.8571428571428571,0.6,0.7058823529411764,40.0
receiving_money,0.868421052631579,0.825,0.8461538461538461,40.0
Refund_not_showing_up,0.8717948717948718,0.85,0.8607594936708861,40.0
request_refund,0.7555555555555555,0.85,0.7999999999999998,40.0
reverted_card_payment?,0.6041666666666666,0.725,0.6590909090909091,40.0
supported_cards_and_currencies,0.8333333333333334,0.75,0.7894736842105262,40.0
terminate_account,0.9024390243902439,0.925,0.9135802469135802,40.0
top_up_by_bank_transfer_charge,0.7073170731707317,0.725,0.7160493827160495,40.0
top_up_by_card_charge,0.7,0.875,0.7777777777777777,40.0
top_up_by_cash_or_cheque,0.9117647058823529,0.775,0.8378378378378379,40.0
top_up_failed,0.574468085106383,0.675,0.6206896551724138,40.0
top_up_limits,0.8085106382978723,0.95,0.8735632183908046,40.0
top_up_reverted,0.6388888888888888,0.575,0.6052631578947367,40.0
topping_up_by_card,0.6410256410256411,0.625,0.6329113924050633,40.0
transaction_charged_twice,0.775,0.775,0.775,40.0
transfer_fee_charged,0.6578947368421053,0.625,0.6410256410256411,40.0
transfer_into_account,0.627906976744186,0.675,0.6506024096385542,40.0
transfer_not_received_by_recipient,0.6388888888888888,0.575,0.6052631578947367,40.0
transfer_timing,0.7441860465116279,0.8,0.7710843373493975,40.0
unable_to_verify_identity,0.8857142857142857,0.775,0.8266666666666667,40.0
verify_my_identity,0.7555555555555555,0.85,0.7999999999999998,40.0
verify_source_of_funds,0.9047619047619048,0.95,0.9268292682926829,40.0
verify_top_up,0.8837209302325582,0.95,0.9156626506024096,40.0
virtual_card_not_working,0.8,0.7,0.7466666666666666,40.0
visa_or_mastercard,0.8461538461538461,0.825,0.8354430379746836,40.0
why_verify_identity,0.813953488372093,0.875,0.8433734939759036,40.0
wrong_amount_of_cash_received,0.8529411764705882,0.725,0.7837837837837837,40.0
wrong_exchange_rate_for_cash_withdrawal,0.7674418604651163,0.825,0.7951807228915662,40.0
accuracy,0.7412337662337662,0.7412337662337662,0.7412337662337662,0.7412337662337662
macro avg,0.7499286863520712,0.7412337662337664,0.7412048947054612,3080.0
weighted avg,0.749928686352071,0.7412337662337662,0.7412048947054611,3080.0
