,precision,recall,f1-score,support
activate_my_card,0.6666666666666666,0.75,0.7058823529411765,40.0
age_limit,0.9743589743589743,0.95,0.9620253164556962,40.0
apple_pay_or_google_pay,0.8780487804878049,0.9,0.888888888888889,40.0
atm_support,0.9230769230769231,0.9,0.9113924050632911,40.0
automatic_top_up,0.8205128205128205,0.8,0.810126582278481,40.0
balance_not_updated_after_bank_transfer,0.5121951219512195,0.525,0.5185185185185186,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.6666666666666666,0.65,0.6582278481012659,40.0
beneficiary_not_allowed,0.8157894736842105,0.775,0.7948717948717949,40.0
cancel_transfer,0.6530612244897959,0.8,0.7191011235955055,40.0
card_about_to_expire,0.8636363636363636,0.95,0.9047619047619048,40.0
card_acceptance,0.75,0.75,0.75,40.0
card_arrival,0.6666666666666666,0.6,0.631578947368421,40.0
card_delivery_estimate,0.8387096774193549,0.65,0.7323943661971831,40.0
card_linking,0.6170212765957447,0.725,0.6666666666666666,40.0
card_not_working,0.525,0.525,0.525,40.0
card_payment_fee_charged,0.6666666666666666,0.75,0.7058823529411765,40.0
card_payment_not_recognised,0.574468085106383,0.675,0.6206896551724138,40.0
card_payment_wrong_exchange_rate,0.8604651162790697,0.925,0.891566265060241,40.0
card_swallowed,0.875,0.7,0.7777777777777777,40.0
cash_withdrawal_charge,0.7,0.7,0.7,40.0
cash_withdrawal_not_recognised,0.6578947368421053,0.625,0.6410256410256411,40.0
change_pin,0.7045454545454546,0.775,0.7380952380952381,40.0
compromised_card,0.8620689655172413,0.625,0.7246376811594203,40.0
contactless_not_working,1.0,0.5,0.6666666666666666,40.0
country_support,0.8780487804878049,0.9,0.888888888888889,40.0
declined_card_payment,0.5961538461538461,0.775,0.6739130434782609,40.0
declined_cash_withdrawal,0.6744186046511628,0.725,0.6987951807228916,40.0
declined_transfer,0.65625,0.525,0.5833333333333334,40.0
direct_debit_payment_not_recognised,0.8333333333333334,0.75,0.7894736842105262,40.0
disposable_card_limits,0.9230769230769231,0.9,0.9113924050632911,40.0
edit_personal_details,0.9117647058823529,0.775,0.8378378378378379,40.0
exchange_charge,0.6829268292682927,0.7,0.6913580246913581,40.0
exchange_rate,0.8157894736842105,0.775,0.7948717948717949,40.0
exchange_via_app,0.7714285714285715,0.675,0.72,40.0
extra_charge_on_statement,0.896551724137931,0.65,0.7536231884057972,40.0
failed_transfer,0.5135135135135135,0.475,0.4935064935064935,40.0
fiat_currency_support,0.8055555555555556,0.725,0.7631578947368423,40.0
get_disposable_virtual_card,0.868421052631579,0.825,0.8461538461538461,40.0
get_physical_card,0.6410256410256411,0.625,0.6329113924050633,40.0
getting_spare_card,0.7073170731707317,0.725,0.7160493827160495,40.0
getting_virtual_card,0.7073170731707317,0.725,0.7160493827160495,40.0
lost_or_stolen_card,0.6956521739130435,0.8,0.7441860465116279,40.0
lost_or_stolen_phone,0.8918918918918919,0.825,0.8571428571428571,40.0
order_physical_card,0.56,0.7,0.6222222222222222,40.0
passcode_forgotten,0.75,0.75,0.75,40.0
pending_card_payment,0.5675675675675675,0.525,0.5454545454545455,40.0
pending_cash_withdrawal,0.5283018867924528,0.7,0.6021505376344085,40.0
pending_top_up,0.7567567567567568,0.7,0.7272727272727273,40.0
pending_transfer,0.525,0.525,0.525,40.0
pin_blocked,0.65,0.65,0.65,40.0
receiving_money,0.85,0.85,0.85,40.0
Refund_not_showing_up,0.8372093023255814,0.9,0.8674698795180723,40.0
request_refund,0.7674418604651163,0.825,0.7951807228915662,40.0
reverted_card_payment?,0.6888888888888889,0.775,0.7294117647058822,40.0
supported_cards_and_currencies,0.8461538461538461,0.825,0.8354430379746836,40.0
terminate_account,0.7906976744186046,0.85,0.8192771084337349,40.0
top_up_by_bank_transfer_charge,0.7105263157894737,0.675,0.6923076923076923,40.0
top_up_by_card_charge,0.9,0.9,0.9,40.0
top_up_by_cash_or_cheque,0.7878787878787878,0.65,0.7123287671232875,40.0
top_up_failed,0.6363636363636364,0.7,0.6666666666666666,40.0
top_up_limits,0.9487179487179487,0.925,0.9367088607594937,40.0
top_up_reverted,0.8157894736842105,0.775,0.7948717948717949,40.0
topping_up_by_card,0.6842105263157895,0.65,0.6666666666666667,40.0
transaction_charged_twice,0.8157894736842105,0.775,0.7948717948717949,40.0
transfer_fee_charged,0.631578947368421,0.6,0.6153846153846154,40.0
transfer_into_account,0.6363636363636364,0.7,0.6666666666666666,40.0
transfer_not_received_by_recipient,0.5106382978723404,0.6,0.5517241379310344,40.0
transfer_timing,0.7142857142857143,0.875,0.7865168539325842,40.0
unable_to_verify_identity,0.8205128205128205,0.8,0.810126582278481,40.0
verify_my_identity,0.6170212765957447,0.725,0.6666666666666666,40.0
verify_source_of_funds,0.8604651162790697,0.925,0.891566265060241,40.0
verify_top_up,0.7872340425531915,0.925,0.8505747126436781,40.0
virtual_card_not_working,0.8181818181818182,0.675,0.7397260273972603,40.0
visa_or_mastercard,0.8918918918918919,0.825,0.8571428571428571,40.0
why_verify_identity,0.8571428571428571,0.75,0.7999999999999999,40.0
wrong_amount_of_cash_received,0.8648648648648649,0.8,0.8311688311688312,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8444444444444444,0.95,0.8941176470588236,40.0
accuracy,0.7425324675324675,0.7425324675324675,0.7425324675324675,0.7425324675324675
macro avg,0.7508425467832069,0.7425324675324675,0.7428975236845085,3080.0
weighted avg,0.7508425467832069,0.7425324675324675,0.7428975236845086,3080.0
