,precision,recall,f1-score,support
activate_my_card,0.4044943820224719,0.9,0.5581395348837209,40.0
age_limit,0.926829268292683,0.95,0.9382716049382716,40.0
apple_pay_or_google_pay,0.8809523809523809,0.925,0.9024390243902439,40.0
atm_support,0.7872340425531915,0.925,0.8505747126436781,40.0
automatic_top_up,0.6875,0.825,0.75,40.0
balance_not_updated_after_bank_transfer,0.36231884057971014,0.625,0.4587155963302752,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.4444444444444444,0.7,0.5436893203883495,40.0
beneficiary_not_allowed,0.66,0.825,0.7333333333333334,40.0
cancel_transfer,0.6065573770491803,0.925,0.7326732673267327,40.0
card_about_to_expire,0.7307692307692307,0.95,0.8260869565217392,40.0
card_acceptance,0.7804878048780488,0.8,0.7901234567901235,40.0
card_arrival,0.5227272727272727,0.575,0.5476190476190476,40.0
card_delivery_estimate,0.7804878048780488,0.8,0.7901234567901235,40.0
card_linking,0.5384615384615384,0.7,0.608695652173913,40.0
card_not_working,0.49056603773584906,0.65,0.5591397849462365,40.0
card_payment_fee_charged,0.5333333333333333,0.8,0.64,40.0
card_payment_not_recognised,0.5660377358490566,0.75,0.6451612903225807,40.0
card_payment_wrong_exchange_rate,0.75,0.9,0.8181818181818182,40.0
card_swallowed,0.8333333333333334,0.75,0.7894736842105262,40.0
cash_withdrawal_charge,0.5882352941176471,0.75,0.6593406593406592,40.0
cash_withdrawal_not_recognised,0.5348837209302325,0.575,0.5542168674698795,40.0
change_pin,0.8157894736842105,0.775,0.7948717948717949,40.0
compromised_card,0.8620689655172413,0.625,0.7246376811594203,40.0
contactless_not_working,0.9545454545454546,0.525,0.6774193548387099,40.0
country_support,0.8604651162790697,0.925,0.891566265060241,40.0
declined_card_payment,0.48333333333333334,0.725,0.58,40.0
declined_cash_withdrawal,0.6976744186046512,0.75,0.7228915662650603,40.0
declined_transfer,0.6666666666666666,0.5,0.5714285714285715,40.0
direct_debit_payment_not_recognised,0.8888888888888888,0.8,0.8421052631578948,40.0
disposable_card_limits,0.8947368421052632,0.85,0.8717948717948718,40.0
edit_personal_details,0.9411764705882353,0.8,0.8648648648648648,40.0
exchange_charge,0.6666666666666666,0.75,0.7058823529411765,40.0
exchange_rate,0.8205128205128205,0.8,0.810126582278481,40.0
exchange_via_app,0.7631578947368421,0.725,0.7435897435897436,40.0
extra_charge_on_statement,0.9,0.675,0.7714285714285714,40.0
failed_transfer,0.71875,0.575,0.6388888888888888,40.0
fiat_currency_support,0.8333333333333334,0.75,0.7894736842105262,40.0
get_disposable_virtual_card,0.8421052631578947,0.8,0.8205128205128205,40.0
get_physical_card,0.6585365853658537,0.675,0.6666666666666667,40.0
getting_spare_card,0.7560975609756098,0.775,0.7654320987654322,40.0
getting_virtual_card,0.7380952380952381,0.775,0.7560975609756099,40.0
lost_or_stolen_card,0.9166666666666666,0.55,0.6874999999999999,40.0
lost_or_stolen_phone,1.0,0.9,0.9473684210526316,40.0
order_physical_card,0.6666666666666666,0.6,0.631578947368421,40.0
passcode_forgotten,0.7741935483870968,0.6,0.676056338028169,40.0
pending_card_payment,0.7058823529411765,0.6,0.6486486486486486,40.0
pending_cash_withdrawal,0.7435897435897436,0.725,0.7341772151898733,40.0
pending_top_up,0.8,0.6,0.6857142857142857,40.0
pending_transfer,0.5555555555555556,0.5,0.5263157894736842,40.0
pin_blocked,0.8,0.6,0.6857142857142857,40.0
receiving_money,0.8918918918918919,0.825,0.8571428571428571,40.0
Refund_not_showing_up,0.9117647058823529,0.775,0.8378378378378379,40.0
request_refund,0.7142857142857143,0.75,0.7317073170731706,40.0
reverted_card_payment?,0.71875,0.575,0.6388888888888888,40.0
supported_cards_and_currencies,0.8108108108108109,0.75,0.7792207792207791,40.0
terminate_account,0.7948717948717948,0.775,0.7848101265822786,40.0
top_up_by_bank_transfer_charge,0.7297297297297297,0.675,0.7012987012987014,40.0
top_up_by_card_charge,0.9166666666666666,0.825,0.8684210526315789,40.0
top_up_by_cash_or_cheque,0.8333333333333334,0.625,0.7142857142857143,40.0
top_up_failed,0.7368421052631579,0.7,0.717948717948718,40.0
top_up_limits,0.9512195121951219,0.975,0.9629629629629629,40.0
top_up_reverted,0.8285714285714286,0.725,0.7733333333333333,40.0
topping_up_by_card,0.7666666666666667,0.575,0.6571428571428571,40.0
transaction_charged_twice,0.9333333333333333,0.7,0.8,40.0
transfer_fee_charged,0.8461538461538461,0.55,0.6666666666666667,40.0
transfer_into_account,0.7941176470588235,0.675,0.7297297297297296,40.0
transfer_not_received_by_recipient,0.7241379310344828,0.525,0.6086956521739131,40.0
transfer_timing,0.8,0.8,0.8000000000000002,40.0
unable_to_verify_identity,0.868421052631579,0.825,0.8461538461538461,40.0
verify_my_identity,0.8611111111111112,0.775,0.8157894736842106,40.0
verify_source_of_funds,0.8666666666666667,0.975,0.9176470588235294,40.0
verify_top_up,0.9024390243902439,0.925,0.9135802469135802,40.0
virtual_card_not_working,0.88,0.55,0.676923076923077,40.0
visa_or_mastercard,0.9696969696969697,0.8,0.8767123287671234,40.0
why_verify_identity,0.8823529411764706,0.75,0.8108108108108107,40.0
wrong_amount_of_cash_received,0.9444444444444444,0.85,0.8947368421052632,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9333333333333333,0.7,0.8,40.0
accuracy,0.7376623376623377,0.7376623376623377,0.7376623376623377,0.7376623376623377
macro avg,0.7655379484541792,0.7376623376623376,0.7417038841895068,3080.0
weighted avg,0.7655379484541794,0.7376623376623377,0.7417038841895066,3080.0
