,precision,recall,f1-score,support
activate_my_card,0.5813953488372093,0.625,0.6024096385542168,40.0
age_limit,1.0,0.925,0.961038961038961,40.0
apple_pay_or_google_pay,0.96875,0.775,0.8611111111111113,40.0
atm_support,0.9736842105263158,0.925,0.9487179487179489,40.0
automatic_top_up,0.8536585365853658,0.875,0.8641975308641976,40.0
balance_not_updated_after_bank_transfer,0.5882352941176471,0.5,0.5405405405405405,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.6341463414634146,0.65,0.6419753086419754,40.0
beneficiary_not_allowed,0.8205128205128205,0.8,0.810126582278481,40.0
cancel_transfer,0.85,0.85,0.85,40.0
card_about_to_expire,0.8444444444444444,0.95,0.8941176470588236,40.0
card_acceptance,0.8809523809523809,0.925,0.9024390243902439,40.0
card_arrival,0.65,0.65,0.65,40.0
card_delivery_estimate,0.8947368421052632,0.85,0.8717948717948718,40.0
card_linking,0.6666666666666666,0.75,0.7058823529411765,40.0
card_not_working,0.4339622641509434,0.575,0.49462365591397855,40.0
card_payment_fee_charged,0.8529411764705882,0.725,0.7837837837837837,40.0
card_payment_not_recognised,0.7,0.7,0.7,40.0
card_payment_wrong_exchange_rate,0.7608695652173914,0.875,0.813953488372093,40.0
card_swallowed,0.9142857142857143,0.8,0.8533333333333333,40.0
cash_withdrawal_charge,0.7692307692307693,0.75,0.7594936708860761,40.0
cash_withdrawal_not_recognised,0.6818181818181818,0.75,0.7142857142857143,40.0
change_pin,0.75,0.75,0.75,40.0
compromised_card,0.8823529411764706,0.75,0.8108108108108107,40.0
contactless_not_working,0.7916666666666666,0.475,0.5937499999999999,40.0
country_support,0.9736842105263158,0.925,0.9487179487179489,40.0
declined_card_payment,0.5272727272727272,0.725,0.6105263157894736,40.0
declined_cash_withdrawal,0.6976744186046512,0.75,0.7228915662650603,40.0
declined_transfer,0.6388888888888888,0.575,0.6052631578947367,40.0
direct_debit_payment_not_recognised,0.6818181818181818,0.75,0.7142857142857143,40.0
disposable_card_limits,0.868421052631579,0.825,0.8461538461538461,40.0
edit_personal_details,0.9,0.9,0.9,40.0
exchange_charge,0.8611111111111112,0.775,0.8157894736842106,40.0
exchange_rate,0.8095238095238095,0.85,0.8292682926829269,40.0
exchange_via_app,0.8947368421052632,0.85,0.8717948717948718,40.0
extra_charge_on_statement,0.7837837837837838,0.725,0.7532467532467533,40.0
failed_transfer,0.6470588235294118,0.55,0.5945945945945946,40.0
fiat_currency_support,0.8055555555555556,0.725,0.7631578947368423,40.0
get_disposable_virtual_card,0.6296296296296297,0.85,0.723404255319149,40.0
get_physical_card,0.6666666666666666,0.7,0.6829268292682926,40.0
getting_spare_card,0.8333333333333334,0.75,0.7894736842105262,40.0
getting_virtual_card,0.6111111111111112,0.55,0.5789473684210527,40.0
lost_or_stolen_card,0.6829268292682927,0.7,0.6913580246913581,40.0
lost_or_stolen_phone,0.8461538461538461,0.825,0.8354430379746836,40.0
order_physical_card,0.5,0.725,0.5918367346938775,40.0
passcode_forgotten,0.8974358974358975,0.875,0.8860759493670887,40.0
pending_card_payment,0.6842105263157895,0.65,0.6666666666666667,40.0
pending_cash_withdrawal,0.7333333333333333,0.825,0.776470588235294,40.0
pending_top_up,0.7096774193548387,0.55,0.619718309859155,40.0
pending_transfer,0.6388888888888888,0.575,0.6052631578947367,40.0
pin_blocked,0.7352941176470589,0.625,0.6756756756756757,40.0
receiving_money,0.9,0.9,0.9,40.0
Refund_not_showing_up,0.7755102040816326,0.95,0.8539325842696629,40.0
request_refund,0.8095238095238095,0.85,0.8292682926829269,40.0
reverted_card_payment?,0.6363636363636364,0.7,0.6666666666666666,40.0
supported_cards_and_currencies,0.75,0.825,0.7857142857142856,40.0
terminate_account,0.8043478260869565,0.925,0.8604651162790697,40.0
top_up_by_bank_transfer_charge,0.8285714285714286,0.725,0.7733333333333333,40.0
top_up_by_card_charge,0.8181818181818182,0.9,0.8571428571428572,40.0
top_up_by_cash_or_cheque,0.7631578947368421,0.725,0.7435897435897436,40.0
top_up_failed,0.5869565217391305,0.675,0.627906976744186,40.0
top_up_limits,0.9411764705882353,0.8,0.8648648648648648,40.0
top_up_reverted,0.625,0.625,0.625,40.0
topping_up_by_card,0.75,0.6,0.6666666666666665,40.0
transaction_charged_twice,0.825,0.825,0.825,40.0
transfer_fee_charged,0.7297297297297297,0.675,0.7012987012987014,40.0
transfer_into_account,0.6222222222222222,0.7,0.6588235294117647,40.0
transfer_not_received_by_recipient,0.6756756756756757,0.625,0.6493506493506493,40.0
transfer_timing,0.717391304347826,0.825,0.7674418604651162,40.0
unable_to_verify_identity,0.9142857142857143,0.8,0.8533333333333333,40.0
verify_my_identity,0.75,0.825,0.7857142857142856,40.0
verify_source_of_funds,0.95,0.95,0.9500000000000001,40.0
verify_top_up,0.8571428571428571,0.9,0.8780487804878048,40.0
virtual_card_not_working,0.9259259259259259,0.625,0.7462686567164178,40.0
visa_or_mastercard,0.85,0.85,0.85,40.0
why_verify_identity,0.8974358974358975,0.875,0.8860759493670887,40.0
wrong_amount_of_cash_received,0.8571428571428571,0.9,0.8780487804878048,40.0
wrong_exchange_rate_for_cash_withdrawal,0.7857142857142857,0.825,0.8048780487804876,40.0
accuracy,0.7626623376623377,0.7626623376623377,0.7626623376623377,0.7626623376623377
macro avg,0.7707656785612299,0.7626623376623378,0.7631970214390986,3080.0
weighted avg,0.7707656785612298,0.7626623376623377,0.7631970214390984,3080.0
