,precision,recall,f1-score,support
activate_my_card,0.39325842696629215,0.875,0.5426356589147288,40.0
age_limit,0.925,0.925,0.925,40.0
apple_pay_or_google_pay,0.9069767441860465,0.975,0.9397590361445783,40.0
atm_support,0.7804878048780488,0.8,0.7901234567901235,40.0
automatic_top_up,0.8409090909090909,0.925,0.8809523809523809,40.0
balance_not_updated_after_bank_transfer,0.4791666666666667,0.575,0.5227272727272727,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.5849056603773585,0.775,0.6666666666666666,40.0
beneficiary_not_allowed,0.6666666666666666,0.75,0.7058823529411765,40.0
cancel_transfer,0.76,0.95,0.8444444444444444,40.0
card_about_to_expire,0.7450980392156863,0.95,0.8351648351648352,40.0
card_acceptance,0.7619047619047619,0.8,0.7804878048780488,40.0
card_arrival,0.6170212765957447,0.725,0.6666666666666666,40.0
card_delivery_estimate,0.8205128205128205,0.8,0.810126582278481,40.0
card_linking,0.6888888888888889,0.775,0.7294117647058822,40.0
card_not_working,0.44776119402985076,0.75,0.5607476635514019,40.0
card_payment_fee_charged,0.7291666666666666,0.875,0.7954545454545454,40.0
card_payment_not_recognised,0.5961538461538461,0.775,0.6739130434782609,40.0
card_payment_wrong_exchange_rate,0.7551020408163265,0.925,0.8314606741573034,40.0
card_swallowed,0.8529411764705882,0.725,0.7837837837837837,40.0
cash_withdrawal_charge,0.9142857142857143,0.8,0.8533333333333333,40.0
cash_withdrawal_not_recognised,0.675,0.675,0.675,40.0
change_pin,0.775,0.775,0.775,40.0
compromised_card,0.8285714285714286,0.725,0.7733333333333333,40.0
contactless_not_working,1.0,0.325,0.4905660377358491,40.0
country_support,0.8409090909090909,0.925,0.8809523809523809,40.0
declined_card_payment,0.603448275862069,0.875,0.7142857142857142,40.0
declined_cash_withdrawal,0.7021276595744681,0.825,0.7586206896551724,40.0
declined_transfer,0.7272727272727273,0.6,0.6575342465753425,40.0
direct_debit_payment_not_recognised,0.6744186046511628,0.725,0.6987951807228916,40.0
disposable_card_limits,0.717391304347826,0.825,0.7674418604651162,40.0
edit_personal_details,0.8780487804878049,0.9,0.888888888888889,40.0
exchange_charge,0.8095238095238095,0.85,0.8292682926829269,40.0
exchange_rate,0.875,0.875,0.875,40.0
exchange_via_app,0.8571428571428571,0.9,0.8780487804878048,40.0
extra_charge_on_statement,0.9090909090909091,0.75,0.821917808219178,40.0
failed_transfer,0.7777777777777778,0.525,0.6268656716417911,40.0
fiat_currency_support,0.9166666666666666,0.825,0.8684210526315789,40.0
get_disposable_virtual_card,0.5636363636363636,0.775,0.6526315789473685,40.0
get_physical_card,0.6842105263157895,0.65,0.6666666666666667,40.0
getting_spare_card,0.8285714285714286,0.725,0.7733333333333333,40.0
getting_virtual_card,0.6875,0.55,0.6111111111111112,40.0
lost_or_stolen_card,0.7368421052631579,0.7,0.717948717948718,40.0
lost_or_stolen_phone,0.9473684210526315,0.9,0.9230769230769231,40.0
order_physical_card,0.5909090909090909,0.65,0.6190476190476191,40.0
passcode_forgotten,0.9743589743589743,0.95,0.9620253164556962,40.0
pending_card_payment,0.6666666666666666,0.7,0.6829268292682926,40.0
pending_cash_withdrawal,0.8333333333333334,0.75,0.7894736842105262,40.0
pending_top_up,0.7407407407407407,0.5,0.5970149253731343,40.0
pending_transfer,0.6333333333333333,0.475,0.5428571428571427,40.0
pin_blocked,0.9259259259259259,0.625,0.7462686567164178,40.0
receiving_money,0.918918918918919,0.85,0.8831168831168831,40.0
Refund_not_showing_up,0.8181818181818182,0.9,0.8571428571428572,40.0
request_refund,0.8974358974358975,0.875,0.8860759493670887,40.0
reverted_card_payment?,0.7878787878787878,0.65,0.7123287671232875,40.0
supported_cards_and_currencies,0.8157894736842105,0.775,0.7948717948717949,40.0
terminate_account,0.8604651162790697,0.925,0.891566265060241,40.0
top_up_by_bank_transfer_charge,0.84375,0.675,0.75,40.0
top_up_by_card_charge,0.9166666666666666,0.825,0.8684210526315789,40.0
top_up_by_cash_or_cheque,0.8709677419354839,0.675,0.7605633802816901,40.0
top_up_failed,0.5686274509803921,0.725,0.6373626373626374,40.0
top_up_limits,0.918918918918919,0.85,0.8831168831168831,40.0
top_up_reverted,0.7857142857142857,0.55,0.6470588235294117,40.0
topping_up_by_card,0.7741935483870968,0.6,0.676056338028169,40.0
transaction_charged_twice,0.8787878787878788,0.725,0.7945205479452054,40.0
transfer_fee_charged,0.90625,0.725,0.8055555555555555,40.0
transfer_into_account,0.7209302325581395,0.775,0.7469879518072289,40.0
transfer_not_received_by_recipient,0.8461538461538461,0.55,0.6666666666666667,40.0
transfer_timing,0.7111111111111111,0.8,0.7529411764705882,40.0
unable_to_verify_identity,0.875,0.875,0.875,40.0
verify_my_identity,0.85,0.85,0.85,40.0
verify_source_of_funds,0.9512195121951219,0.975,0.9629629629629629,40.0
verify_top_up,0.9459459459459459,0.875,0.9090909090909091,40.0
virtual_card_not_working,0.9047619047619048,0.475,0.6229508196721311,40.0
visa_or_mastercard,0.9393939393939394,0.775,0.8493150684931509,40.0
why_verify_identity,0.9428571428571428,0.825,0.88,40.0
wrong_amount_of_cash_received,0.8947368421052632,0.85,0.8717948717948718,40.0
wrong_exchange_rate_for_cash_withdrawal,0.8787878787878788,0.725,0.7945205479452054,40.0
accuracy,0.7659090909090909,0.7659090909090909,0.7659090909090909,0.7659090909090909
macro avg,0.787927781140478,0.7659090909090909,0.7666630275371666,3080.0
weighted avg,0.787927781140478,0.7659090909090909,0.7666630275371665,3080.0
