,precision,recall,f1-score,support
activate_my_card,0.9512195121951219,0.975,0.9629629629629629,40.0
age_limit,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,0.9523809523809523,1.0,0.975609756097561,40.0
automatic_top_up,1.0,1.0,1.0,40.0
balance_not_updated_after_bank_transfer,0.6363636363636364,0.875,0.7368421052631579,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.9736842105263158,0.925,0.9487179487179489,40.0
beneficiary_not_allowed,0.9069767441860465,0.975,0.9397590361445783,40.0
cancel_transfer,0.9090909090909091,1.0,0.9523809523809523,40.0
card_about_to_expire,0.9523809523809523,1.0,0.975609756097561,40.0
card_acceptance,0.9459459459459459,0.875,0.9090909090909091,40.0
card_arrival,0.813953488372093,0.875,0.8433734939759036,40.0
card_delivery_estimate,0.875,0.875,0.875,40.0
card_linking,1.0,0.95,0.9743589743589743,40.0
card_not_working,0.8043478260869565,0.925,0.8604651162790697,40.0
card_payment_fee_charged,0.8444444444444444,0.95,0.8941176470588236,40.0
card_payment_not_recognised,0.8043478260869565,0.925,0.8604651162790697,40.0
card_payment_wrong_exchange_rate,0.9047619047619048,0.95,0.9268292682926829,40.0
card_swallowed,1.0,0.875,0.9333333333333333,40.0
cash_withdrawal_charge,0.975,0.975,0.975,40.0
cash_withdrawal_not_recognised,0.7307692307692307,0.95,0.8260869565217392,40.0
change_pin,0.8666666666666667,0.975,0.9176470588235294,40.0
compromised_card,0.8205128205128205,0.8,0.810126582278481,40.0
contactless_not_working,1.0,0.925,0.961038961038961,40.0
country_support,0.9743589743589743,0.95,0.9620253164556962,40.0
declined_card_payment,0.8478260869565217,0.975,0.9069767441860466,40.0
declined_cash_withdrawal,0.9069767441860465,0.975,0.9397590361445783,40.0
declined_transfer,0.8611111111111112,0.775,0.8157894736842106,40.0
direct_debit_payment_not_recognised,0.9705882352941176,0.825,0.8918918918918919,40.0
disposable_card_limits,0.9069767441860465,0.975,0.9397590361445783,40.0
edit_personal_details,1.0,1.0,1.0,40.0
exchange_charge,0.9743589743589743,0.95,0.9620253164556962,40.0
exchange_rate,0.8666666666666667,0.975,0.9176470588235294,40.0
exchange_via_app,0.8260869565217391,0.95,0.8837209302325583,40.0
extra_charge_on_statement,0.9487179487179487,0.925,0.9367088607594937,40.0
failed_transfer,0.8421052631578947,0.8,0.8205128205128205,40.0
fiat_currency_support,0.9393939393939394,0.775,0.8493150684931509,40.0
get_disposable_virtual_card,0.9,0.9,0.9,40.0
get_physical_card,0.9512195121951219,0.975,0.9629629629629629,40.0
getting_spare_card,0.8888888888888888,1.0,0.9411764705882353,40.0
getting_virtual_card,0.9473684210526315,0.9,0.9230769230769231,40.0
lost_or_stolen_card,0.7954545454545454,0.875,0.8333333333333334,40.0
lost_or_stolen_phone,1.0,0.875,0.9333333333333333,40.0
order_physical_card,0.9230769230769231,0.9,0.9113924050632911,40.0
passcode_forgotten,0.975609756097561,1.0,0.9876543209876543,40.0
pending_card_payment,0.8780487804878049,0.9,0.888888888888889,40.0
pending_cash_withdrawal,0.9736842105263158,0.925,0.9487179487179489,40.0
pending_top_up,0.782608695652174,0.9,0.8372093023255814,40.0
pending_transfer,0.8235294117647058,0.7,0.7567567567567567,40.0
pin_blocked,0.9705882352941176,0.825,0.8918918918918919,40.0
receiving_money,1.0,0.925,0.961038961038961,40.0
Refund_not_showing_up,1.0,0.975,0.9873417721518987,40.0
request_refund,0.95,0.95,0.9500000000000001,40.0
reverted_card_payment?,0.9743589743589743,0.95,0.9620253164556962,40.0
supported_cards_and_currencies,0.7659574468085106,0.9,0.8275862068965516,40.0
terminate_account,1.0,1.0,1.0,40.0
top_up_by_bank_transfer_charge,0.8222222222222222,0.925,0.8705882352941177,40.0
top_up_by_card_charge,0.9722222222222222,0.875,0.9210526315789473,40.0
top_up_by_cash_or_cheque,0.9473684210526315,0.9,0.9230769230769231,40.0
top_up_failed,0.8095238095238095,0.85,0.8292682926829269,40.0
top_up_limits,1.0,0.975,0.9873417721518987,40.0
top_up_reverted,0.96875,0.775,0.8611111111111113,40.0
topping_up_by_card,0.8378378378378378,0.775,0.8051948051948051,40.0
transaction_charged_twice,0.9487179487179487,0.925,0.9367088607594937,40.0
transfer_fee_charged,0.9142857142857143,0.8,0.8533333333333333,40.0
transfer_into_account,0.9696969696969697,0.8,0.8767123287671234,40.0
transfer_not_received_by_recipient,0.875,0.7,0.7777777777777777,40.0
transfer_timing,0.9444444444444444,0.85,0.8947368421052632,40.0
unable_to_verify_identity,0.9069767441860465,0.975,0.9397590361445783,40.0
verify_my_identity,0.8372093023255814,0.9,0.8674698795180723,40.0
verify_source_of_funds,1.0,0.975,0.9873417721518987,40.0
verify_top_up,1.0,1.0,1.0,40.0
virtual_card_not_working,0.972972972972973,0.9,0.935064935064935,40.0
visa_or_mastercard,1.0,0.875,0.9333333333333333,40.0
why_verify_identity,0.972972972972973,0.9,0.935064935064935,40.0
wrong_amount_of_cash_received,1.0,0.875,0.9333333333333333,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9736842105263158,0.925,0.9487179487179489,40.0
accuracy,0.9126623376623376,0.9126623376623376,0.9126623376623376,0.9126623376623376
macro avg,0.9182765494847648,0.912662337662338,0.9130691216936768,3080.0
weighted avg,0.9182765494847649,0.9126623376623376,0.913069121693677,3080.0
