,precision,recall,f1-score,support
activate_my_card,0.926829268292683,0.95,0.9382716049382716,40.0
age_limit,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,0.9523809523809523,1.0,0.975609756097561,40.0
automatic_top_up,0.9487179487179487,0.925,0.9367088607594937,40.0
balance_not_updated_after_bank_transfer,0.6444444444444445,0.725,0.6823529411764706,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.8444444444444444,0.95,0.8941176470588236,40.0
beneficiary_not_allowed,0.9,0.9,0.9,40.0
cancel_transfer,0.8863636363636364,0.975,0.9285714285714285,40.0
card_about_to_expire,0.9523809523809523,1.0,0.975609756097561,40.0
card_acceptance,0.95,0.95,0.9500000000000001,40.0
card_arrival,0.813953488372093,0.875,0.8433734939759036,40.0
card_delivery_estimate,0.9210526315789473,0.875,0.8974358974358975,40.0
card_linking,0.8863636363636364,0.975,0.9285714285714285,40.0
card_not_working,0.7755102040816326,0.95,0.8539325842696629,40.0
card_payment_fee_charged,0.8372093023255814,0.9,0.8674698795180723,40.0
card_payment_not_recognised,0.6666666666666666,0.75,0.7058823529411765,40.0
card_payment_wrong_exchange_rate,0.8837209302325582,0.95,0.9156626506024096,40.0
card_swallowed,1.0,0.85,0.9189189189189189,40.0
cash_withdrawal_charge,0.8809523809523809,0.925,0.9024390243902439,40.0
cash_withdrawal_not_recognised,0.7551020408163265,0.925,0.8314606741573034,40.0
change_pin,0.8444444444444444,0.95,0.8941176470588236,40.0
compromised_card,0.9393939393939394,0.775,0.8493150684931509,40.0
contactless_not_working,1.0,0.875,0.9333333333333333,40.0
country_support,0.9523809523809523,1.0,0.975609756097561,40.0
declined_card_payment,0.8297872340425532,0.975,0.896551724137931,40.0
declined_cash_withdrawal,0.918918918918919,0.85,0.8831168831168831,40.0
declined_transfer,0.8787878787878788,0.725,0.7945205479452054,40.0
direct_debit_payment_not_recognised,0.8648648648648649,0.8,0.8311688311688312,40.0
disposable_card_limits,0.972972972972973,0.9,0.935064935064935,40.0
edit_personal_details,0.975609756097561,1.0,0.9876543209876543,40.0
exchange_charge,0.9473684210526315,0.9,0.9230769230769231,40.0
exchange_rate,0.9512195121951219,0.975,0.9629629629629629,40.0
exchange_via_app,0.9047619047619048,0.95,0.9268292682926829,40.0
extra_charge_on_statement,0.8947368421052632,0.85,0.8717948717948718,40.0
failed_transfer,0.7777777777777778,0.875,0.823529411764706,40.0
fiat_currency_support,0.8947368421052632,0.85,0.8717948717948718,40.0
get_disposable_virtual_card,0.8333333333333334,0.875,0.8536585365853658,40.0
get_physical_card,0.9459459459459459,0.875,0.9090909090909091,40.0
getting_spare_card,1.0,0.975,0.9873417721518987,40.0
getting_virtual_card,0.9024390243902439,0.925,0.9135802469135802,40.0
lost_or_stolen_card,0.8536585365853658,0.875,0.8641975308641976,40.0
lost_or_stolen_phone,0.975,0.975,0.975,40.0
order_physical_card,0.9736842105263158,0.925,0.9487179487179489,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
pending_card_payment,0.8222222222222222,0.925,0.8705882352941177,40.0
pending_cash_withdrawal,0.9705882352941176,0.825,0.8918918918918919,40.0
pending_top_up,0.8648648648648649,0.8,0.8311688311688312,40.0
pending_transfer,0.7941176470588235,0.675,0.7297297297297296,40.0
pin_blocked,0.918918918918919,0.85,0.8831168831168831,40.0
receiving_money,1.0,0.875,0.9333333333333333,40.0
Refund_not_showing_up,1.0,0.95,0.9743589743589743,40.0
request_refund,0.926829268292683,0.95,0.9382716049382716,40.0
reverted_card_payment?,0.9024390243902439,0.925,0.9135802469135802,40.0
supported_cards_and_currencies,0.8571428571428571,0.9,0.8780487804878048,40.0
terminate_account,1.0,1.0,1.0,40.0
top_up_by_bank_transfer_charge,0.9,0.9,0.9,40.0
top_up_by_card_charge,0.9523809523809523,1.0,0.975609756097561,40.0
top_up_by_cash_or_cheque,0.9411764705882353,0.8,0.8648648648648648,40.0
top_up_failed,0.7391304347826086,0.85,0.7906976744186046,40.0
top_up_limits,0.9743589743589743,0.95,0.9620253164556962,40.0
top_up_reverted,0.918918918918919,0.85,0.8831168831168831,40.0
topping_up_by_card,0.8823529411764706,0.75,0.8108108108108107,40.0
transaction_charged_twice,0.9487179487179487,0.925,0.9367088607594937,40.0
transfer_fee_charged,0.9,0.9,0.9,40.0
transfer_into_account,0.8648648648648649,0.8,0.8311688311688312,40.0
transfer_not_received_by_recipient,0.7272727272727273,0.8,0.761904761904762,40.0
transfer_timing,0.9210526315789473,0.875,0.8974358974358975,40.0
unable_to_verify_identity,0.9047619047619048,0.95,0.9268292682926829,40.0
verify_my_identity,0.8837209302325582,0.95,0.9156626506024096,40.0
verify_source_of_funds,1.0,1.0,1.0,40.0
verify_top_up,0.975609756097561,1.0,0.9876543209876543,40.0
virtual_card_not_working,0.9736842105263158,0.925,0.9487179487179489,40.0
visa_or_mastercard,1.0,0.925,0.961038961038961,40.0
why_verify_identity,1.0,0.85,0.9189189189189189,40.0
wrong_amount_of_cash_received,0.8461538461538461,0.825,0.8354430379746836,40.0
wrong_exchange_rate_for_cash_withdrawal,0.918918918918919,0.85,0.8831168831168831,40.0
accuracy,0.900974025974026,0.900974025974026,0.900974025974026,0.900974025974026
macro avg,0.9050404637742159,0.9009740259740258,0.9012237838806861,3080.0
weighted avg,0.9050404637742158,0.900974025974026,0.9012237838806859,3080.0
