,precision,recall,f1-score,support
activate_my_card,0.9512195121951219,0.975,0.9629629629629629,40.0
age_limit,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
atm_support,1.0,0.975,0.9873417721518987,40.0
automatic_top_up,0.9512195121951219,0.975,0.9629629629629629,40.0
balance_not_updated_after_bank_transfer,0.68,0.85,0.7555555555555556,40.0
balance_not_updated_after_cheque_or_cash_deposit,0.9722222222222222,0.875,0.9210526315789473,40.0
beneficiary_not_allowed,0.8043478260869565,0.925,0.8604651162790697,40.0
cancel_transfer,0.9302325581395349,1.0,0.963855421686747,40.0
card_about_to_expire,0.975609756097561,1.0,0.9876543209876543,40.0
card_acceptance,0.926829268292683,0.95,0.9382716049382716,40.0
card_arrival,0.8043478260869565,0.925,0.8604651162790697,40.0
card_delivery_estimate,0.875,0.875,0.875,40.0
card_linking,0.926829268292683,0.95,0.9382716049382716,40.0
card_not_working,0.7755102040816326,0.95,0.8539325842696629,40.0
card_payment_fee_charged,0.7916666666666666,0.95,0.8636363636363635,40.0
card_payment_not_recognised,0.75,0.75,0.75,40.0
card_payment_wrong_exchange_rate,0.8444444444444444,0.95,0.8941176470588236,40.0
card_swallowed,0.9444444444444444,0.85,0.8947368421052632,40.0
cash_withdrawal_charge,0.9024390243902439,0.925,0.9135802469135802,40.0
cash_withdrawal_not_recognised,0.6724137931034483,0.975,0.7959183673469388,40.0
change_pin,0.9069767441860465,0.975,0.9397590361445783,40.0
compromised_card,0.90625,0.725,0.8055555555555555,40.0
contactless_not_working,1.0,0.9,0.9473684210526316,40.0
country_support,0.975609756097561,1.0,0.9876543209876543,40.0
declined_card_payment,0.7872340425531915,0.925,0.8505747126436781,40.0
declined_cash_withdrawal,0.7755102040816326,0.95,0.8539325842696629,40.0
declined_transfer,0.9393939393939394,0.775,0.8493150684931509,40.0
direct_debit_payment_not_recognised,0.9117647058823529,0.775,0.8378378378378379,40.0
disposable_card_limits,0.8444444444444444,0.95,0.8941176470588236,40.0
edit_personal_details,0.9512195121951219,0.975,0.9629629629629629,40.0
exchange_charge,0.8780487804878049,0.9,0.888888888888889,40.0
exchange_rate,0.9047619047619048,0.95,0.9268292682926829,40.0
exchange_via_app,0.8571428571428571,0.9,0.8780487804878048,40.0
extra_charge_on_statement,1.0,0.875,0.9333333333333333,40.0
failed_transfer,0.813953488372093,0.875,0.8433734939759036,40.0
fiat_currency_support,0.8974358974358975,0.875,0.8860759493670887,40.0
get_disposable_virtual_card,0.8043478260869565,0.925,0.8604651162790697,40.0
get_physical_card,0.9512195121951219,0.975,0.9629629629629629,40.0
getting_spare_card,0.9487179487179487,0.925,0.9367088607594937,40.0
getting_virtual_card,0.9714285714285714,0.85,0.9066666666666667,40.0
lost_or_stolen_card,0.8888888888888888,0.8,0.8421052631578948,40.0
lost_or_stolen_phone,1.0,0.95,0.9743589743589743,40.0
order_physical_card,0.9444444444444444,0.85,0.8947368421052632,40.0
passcode_forgotten,0.975609756097561,1.0,0.9876543209876543,40.0
pending_card_payment,0.8571428571428571,0.9,0.8780487804878048,40.0
pending_cash_withdrawal,0.9428571428571428,0.825,0.88,40.0
pending_top_up,0.8333333333333334,0.875,0.8536585365853658,40.0
pending_transfer,0.7105263157894737,0.675,0.6923076923076923,40.0
pin_blocked,0.9428571428571428,0.825,0.88,40.0
receiving_money,0.972972972972973,0.9,0.935064935064935,40.0
Refund_not_showing_up,0.9487179487179487,0.925,0.9367088607594937,40.0
request_refund,0.926829268292683,0.95,0.9382716049382716,40.0
reverted_card_payment?,0.9024390243902439,0.925,0.9135802469135802,40.0
supported_cards_and_currencies,0.8809523809523809,0.925,0.9024390243902439,40.0
terminate_account,1.0,1.0,1.0,40.0
top_up_by_bank_transfer_charge,0.7872340425531915,0.925,0.8505747126436781,40.0
top_up_by_card_charge,0.972972972972973,0.9,0.935064935064935,40.0
top_up_by_cash_or_cheque,0.9210526315789473,0.875,0.8974358974358975,40.0
top_up_failed,0.7674418604651163,0.825,0.7951807228915662,40.0
top_up_limits,0.9743589743589743,0.95,0.9620253164556962,40.0
top_up_reverted,0.7941176470588235,0.675,0.7297297297297296,40.0
topping_up_by_card,0.8823529411764706,0.75,0.8108108108108107,40.0
transaction_charged_twice,0.9487179487179487,0.925,0.9367088607594937,40.0
transfer_fee_charged,0.9166666666666666,0.825,0.8684210526315789,40.0
transfer_into_account,0.9411764705882353,0.8,0.8648648648648648,40.0
transfer_not_received_by_recipient,0.84375,0.675,0.75,40.0
transfer_timing,0.9210526315789473,0.875,0.8974358974358975,40.0
unable_to_verify_identity,0.926829268292683,0.95,0.9382716049382716,40.0
verify_my_identity,0.8780487804878049,0.9,0.888888888888889,40.0
verify_source_of_funds,1.0,1.0,1.0,40.0
verify_top_up,1.0,1.0,1.0,40.0
virtual_card_not_working,0.9459459459459459,0.875,0.9090909090909091,40.0
visa_or_mastercard,0.9736842105263158,0.925,0.9487179487179489,40.0
why_verify_identity,1.0,0.875,0.9333333333333333,40.0
wrong_amount_of_cash_received,1.0,0.825,0.9041095890410958,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9714285714285714,0.85,0.9066666666666667,40.0
accuracy,0.8980519480519481,0.8980519480519481,0.8980519480519481,0.8980519480519481
macro avg,0.9038784351082839,0.898051948051948,0.8982919404302716,3080.0
weighted avg,0.9038784351082839,0.8980519480519481,0.8982919404302717,3080.0
